Movie_Id,title,year,genre,rating,count
1,Побег из Шоушенка,1994,Drama,9.3,2700000
2,Крёстный отец,1972,Crime,9.2,1800000
3,Темный рыцарь,2008,Action,9.0,2600000
4,Крёстный отец 2,1974,Crime,9.0,1300000
5,12 рaзгневанных мужчин,1957,Crime,9.0,787000
6,Список Шиндлера,1993,Biography,9.0,1300000
7,Криминальное чтиво,1994,Crime,8.9,2000000
8,"Хороший, плохой, злой",1966,Adventure,8.8,759000
9,Форрест Гамп,1994,Drama,8.8,2100000
10,Бойцовский клуб,1999,Drama,8.8,2100000
11,Начало,2010,Action,8.8,2300000
12,Матрица,1999,Action,8.7,1900000
13,Славные парни,1990,Biography,8.7,1200000
14,Семь,1995,Crime,8.6,1600000
15,Семь самураев,1954,Action,8.6,346000
16,Молчание ягнят,1991,Crime,8.6,1400000
17,Город Бога,2002,Crime,8.6,755000
18,Спасти рядового Райана,1998,Drama,8.6,1400000
19,Жизнь прекрасна,1997,Comedy,8.6,693000
20,Интерстеллар,2014,Adventure,8.6,1800000
21,Зелёная миля,1999,Crime,8.6,1300000
22,Назад в будущее,1985,Adventure,8.5,1200000
23,Унесённые призраками,2001,Animation,8.6,759000
24,Психо,1960,Horror,8.5,671000
25,Пианист,2002,Biography,8.5,829000
26,Паразиты,2019,Drama,8.5,793000
27,Леон,1994,Action,8.5,1200000
28,Король лев,1994,Animation,8.5,1100000
29,Гладиатор,2000,Action,8.5,1500000
30,Отступники,2006,Crime,8.5,1300000
31,Подозрительные лица,1995,Crime,8.5,1100000
32,Престиж,2006,Drama,8.5,1300000
33,Одержимость,2014,Drama,8.5,853000
34,Casablanca,1942,Drama,8.5,571000
35,Seppuku,1962,Action,8.6,57000
36,1+1,2011,Biography,8.5,855000
37,Могила светлячков,1988,Animation,8.5,277000
38,Новые времена,1936,Comedy,8.5,243000
39,Окно во двор,1954,Mystery,8.5,491000
40,Чужой,1979,Horror,8.5,880000
41,Огни большого города,1931,Comedy,8.5,185000
42,Апокалипсис сегодня,1979,Drama,8.5,666000
43,Помни,2000,Mystery,8.4,1200000
44,Джанго освобожденный,2012,Drama,8.4,1500000
45,ВАЛЛ·И,2008,Animation,8.4,1100000
46,Жизнь других,2006,Drama,8.4,390000
47,Sunset Blvd.,1950,Drama,8.4,222000
48,Тропы славы,1957,Drama,8.4,198000
49,Великий диктатор,1940,Comedy,8.4,224000
50,Сияние,1980,Drama,8.4,1000000
51,Свидетель обвинения,1957,Crime,8.4,126000
52,Чужой 2,1986,Action,8.4,716000
53,Красота по-американски,1999,Drama,8.4,1200000
54,Олдбой,2003,Action,8.4,578000
55,Амадей,1984,Biography,8.4,401000
56,Джокер,2019,Crime,8.4,1300000
57,Бесславные ублюдки,2009,Adventure,8.3,1400000
58,Тайна Коко,2017,Animation,8.4,504000
59,История игрушек,1995,Animation,8.3,990000
60,Храброе сердце,1995,Biography,8.4,1000000
61,Подводная лодка,1981,Drama,8.4,251000
62,Мстители: Финал,2019,Action,8.4,1100000
63,Принцесса Мононоке,1997,Animation,8.4,394000
64,Однажды в Америке,1984,Crime,8.3,352000
65,Умница Уилл Хантинг,1997,Drama,8.3,964000
66,Топ Ган: Мэверик,2022,Action,8.4,433000
67,Твоё имя,2016,Animation,8.4,267000
68,Реквием по мечте,2000,Drama,8.3,840000
